s,HybridSort,MergeSort
4,14.693500000000004,13.845041000000002
5,13.455917000000007,13.150625000000005
6,13.092458000000008,12.899833000000001
7,13.304834,13.576792000000012
8,13.065540999999996,13.191958999999997
9,12.557541000000015,12.954624999999993
10,12.735208,13.007208999999989
11,12.912667000000027,13.280124999999998
12,13.726041999999978,14.170749999999998
13,13.008457999999962,13.150333000000046
14,13.125291000000004,13.631833000000029
15,13.486125000000015,13.723000000000013
16,13.03308400000003,13.363749999999982
17,13.00045799999998,13.402917000000059
18,12.927459000000056,13.394083000000023
19,12.633208999999965,13.212166999999965
20,12.987500000000011,13.680916999999965
21,13.323415999999895,13.918417000000034
22,12.925749999999994,13.420958000000041
23,12.806958999999893,13.378041000000053
24,12.78666700000008,13.189041000000088
25,12.19216700000004,12.85920800000008
26,12.763332999999989,13.247333000000026
27,12.84720799999991,13.460958000000005
28,12.944958000000042,13.317207999999937
29,12.845207999999957,13.233124999999973
30,12.26216599999998,12.84420799999998
31,12.82766700000002,13.223375000000146
32,12.917042000000038,13.239500000000021
33,12.883499999999913,13.164708000000019
34,12.818500000000085,13.023500000000013
35,12.522417000000019,12.960916999999995
36,12.704665999999975,13.02137499999992
37,12.587958000000071,12.963166999999999
38,13.08908299999996,13.668000000000006
39,13.348333000000139,13.196874999999977
40,12.482999999999947,12.685459000000037
41,13.005750000000148,13.560707999999977
42,13.12675000000013,13.577332999999953
43,13.48962500000016,13.215791999999965
44,13.060791000000108,13.3893750000002
45,13.24979200000007,14.396208999999999
46,13.421166999999969,13.260541999999987
47,12.625458999999864,12.831916999999976
48,12.89562500000011,13.448624999999765
49,12.688290999999936,12.902708000000302
50,12.529209000000037,12.783542000000352
51,12.683999999999742,12.951416000000108
52,13.013083000000051,13.590791000000081
53,12.969082999999955,13.227167000000009
54,13.201750000000175,13.480999999999767
55,12.672209000000066,13.221041999999898
56,13.224416000000247,13.363333999999895
57,12.7009579999999,12.97116600000004
58,12.814124999999649,13.05208400000015
59,13.07374999999979,13.33404100000007
60,12.850082999999813,13.198125000000118
61,13.113375000000133,13.45004199999994
62,13.05258300000014,13.301040999999941
63,12.821750000000065,13.052332999999862
64,13.619042000000036,13.544792000000143
65,12.767666999999847,12.543916000000081
66,13.220833000000084,12.805041999999958
67,13.297541000000138,13.071082999999817
68,13.413041000000021,13.131250000000136
69,13.121917000000167,12.837416999999732
70,13.033792000000176,12.967375000000175
71,13.54037500000004,13.45333299999993
72,13.145584000000099,12.893792000000076
73,13.53208399999994,13.585417000000007
74,13.211334000000079,12.93858299999988
75,13.738167000000203,13.234667000000172
76,13.319875000000138,13.093208000000004
77,13.446083000000044,13.117750000000115
78,13.489083000000164,13.612375000000156
79,13.467832999999928,13.303041000000576
80,13.49620799999957,13.172707999999602
81,13.13529200000039,13.151957999999922
82,14.245749999999589,13.870374999999967
83,13.607709000000341,13.257374999999683
84,13.557582999999795,13.424207999999908
85,13.459582999999839,13.227334000000155
86,13.532792000000427,13.154833000000053
87,13.093957999999475,13.0300000000002
88,13.280457999999726,13.045333000000028
89,13.455209000000195,13.320333000000119
90,13.375541999999768,13.143750000000182
91,12.744625000000724,12.528583000000253
92,13.587582999999995,13.614332999999988
93,13.570374999999785,13.417124999999942
94,13.90237500000012,13.72933299999977
95,12.879500000000007,12.747667000000092
96,13.830042000000049,14.104624999999942
97,13.970624999999927,13.08224999999993
98,13.780709000000115,13.658125000000382
99,13.753458000000137,13.56650000000036
100,13.322042000000238,12.926625000000058
